"filename", "language", "CSS", "JavaScript", "Django Template", "comment", "blank", "total"
"c:\Users\franco\saas\intellecta\cm-copi-front\app.js", "JavaScript", 0, 213, 0, 35, 100, 348
"c:\Users\franco\saas\intellecta\cm-copi-front\axios.js", "JavaScript", 0, 53, 0, 15, 16, 84
"c:\Users\franco\saas\intellecta\cm-copi-front\basic.css", "CSS", 20, 0, 0, 0, 1, 21
"c:\Users\franco\saas\intellecta\cm-copi-front\context.js", "JavaScript", 0, 16, 0, 7, 8, 31
"c:\Users\franco\saas\intellecta\cm-copi-front\helpers.js", "JavaScript", 0, 1200, 0, 311, 499, 2010
"c:\Users\franco\saas\intellecta\cm-copi-front\home.html", "Django Template", 0, 0, 182, 0, 82, 264
"c:\Users\franco\saas\intellecta\cm-copi-front\info.html", "Django Template", 0, 0, 240, 0, 44, 284
"c:\Users\franco\saas\intellecta\cm-copi-front\info.js", "JavaScript", 0, 8, 0, 1, 3, 12
"c:\Users\franco\saas\intellecta\cm-copi-front\login.html", "Django Template", 0, 0, 288, 0, 64, 352
"c:\Users\franco\saas\intellecta\cm-copi-front\modals\chooseStyle.js", "JavaScript", 0, 115, 0, 4, 45, 164
"c:\Users\franco\saas\intellecta\cm-copi-front\my-generations.html", "Django Template", 0, 0, 76, 0, 27, 103
"c:\Users\franco\saas\intellecta\cm-copi-front\my-generations.js", "JavaScript", 0, 82, 0, 12, 23, 117
"c:\Users\franco\saas\intellecta\cm-copi-front\politica-privacidad.html", "Django Template", 0, 0, 78, 0, 7, 85
"c:\Users\franco\saas\intellecta\cm-copi-front\pricing.html", "Django Template", 0, 0, 68, 0, 13, 81
"c:\Users\franco\saas\intellecta\cm-copi-front\pricing\pricing.js", "JavaScript", 0, 52, 0, 11, 17, 80
"c:\Users\franco\saas\intellecta\cm-copi-front\profile.html", "Django Template", 0, 0, 94, 0, 22, 116
"c:\Users\franco\saas\intellecta\cm-copi-front\profile.js", "JavaScript", 0, 22, 0, 7, 11, 40
"c:\Users\franco\saas\intellecta\cm-copi-front\router.js", "JavaScript", 0, 10, 0, 12, 5, 27
"c:\Users\franco\saas\intellecta\cm-copi-front\styles-info-slider.css", "CSS", 113, 0, 0, 1, 3, 117
"c:\Users\franco\saas\intellecta\cm-copi-front\styles-info.css", "CSS", 180, 0, 0, 2, 40, 222
"c:\Users\franco\saas\intellecta\cm-copi-front\styles-login.css", "CSS", 48, 0, 0, 0, 11, 59
"c:\Users\franco\saas\intellecta\cm-copi-front\styles-my-gen.css", "CSS", 92, 0, 0, 0, 19, 111
"c:\Users\franco\saas\intellecta\cm-copi-front\styles-profile.css", "CSS", 80, 0, 0, 0, 14, 94
"c:\Users\franco\saas\intellecta\cm-copi-front\styles.css", "CSS", 688, 0, 0, 45, 161, 894
"c:\Users\franco\saas\intellecta\cm-copi-front\utils\styles.js", "JavaScript", 0, 2, 0, 0, 0, 2
"Total", "-", 1221, 1773, 1026, 463, 1235, 5718
